리뷰ID,작성자ID,제목,내용,리뷰 날짜,숙박 날짜,여행 유형,종합 평점,가격,장소,침대의 퀄리티,객실,청결도,서비스
879503815,skssks87,제주도의 최고의 호텔,"짧았던 와이프와의 2박3일 여행이여서 공항근처인 하얏트로 숙소를 정했는데 탁월한 선택이였고, 체크인부터 체크아웃까지 완벽했던 여행이였습니다. 최고의 서비스로 응대해주셔서 감사합니다.",2023년 2월 21일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
879393955,roxortn2,보통수준의 호텔,조식 대기 시간이 40분 걸렸고 이용시간에도 제한이 있었음.  예약을  제한없이 받았는지 사람이 너무 많았고 이틀내내 똑같았음. 오래 기다려주셔서 감사하다는 자기 편한 정신나간 멘트 날리는 이상한 직원도 있었음.... 너나 감사하지 내 기분은 어떻겠니 ?! 예약을 적절히 받던가 식당 분배를 잘 하던가... 가격과 시설에 비해 아주 수준떨어지는 관리상태,2023년 2월 20일,2023년 2월,커플로 여행함,3.0,1.0,2.0,2.0,2.0,2.0,3.0
879389514,yjung815,기대이상,기존 예약했던 호텔 숙박을 취소하고 지인 소개로 예약을 하게 됐는데 기대 이상으로 훌륭 했습니다.<br/>제주 시내에 위치하는 호텔이라 비즈니스 호텔쯤으로 생각했는데 객실도 아주 넓고 ,2023년 2월 20일,2023년 2월,가족과 여행함,5.0,3.0,4.0,5.0,5.0,4.0,4.0
879358471,jwlee2023,좋아요,시설도 좋고 직원분들도 친절하고 다른 호텔보다 좋았습니다<br/>조식도 맛있고 특히 야외풀장이 참 좋았네요<br/>아이들도 좋아하고 다음 제주도 갈때 그랜드하얏트로 숙소 지정하기로 했습니다,2023년 2월 20일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
879356798,trlee71,5성급 호텔로 매우 만족합니다,가족 여행으로 1박을 했는데 야외 수영장이 넘 좋습니다<br/>시설도 최고고 직원 응대도 좋고 호텔내 시설이용으로만 2박을 해도 좋습니다,2023년 2월 20일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
879344530,ena202234,가족과 즐거운 여행,가족과 두번째 방문입니다.전반적으로 다 만족이지만 조식 테이블에 날파리와 수영장 수질 청결이 조금 더 신경 썼으면 하는 바램이 있습니다. 객실은 3일 동안 만족이지만 룸정리 중에 바닥 먼지 제거를 청소기 후 물걸레로 조금 더 신경 썼으면합니다.<br/><br/>,2023년 2월 20일,2023년 2월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
879237079,wjs308,역시 5성급 호텔입니다. 좋아요!!,"좋아요~ 제주 여행의 시작과 끝을 함께하면 아주 기분 좋은 여행이 될 것입니다. 위치는 제주 중심이라 운전이 미숙한 분들은 어렵겠으나 제주 동쪽, 서쪽 어디든 움직이기 좋아서 좋습니다. 조식은 그랜드뷔페룰 이용했는데 서비스나 음식의 질이나 모두 좋았습니다. 호텔 안 피트니스센터도 아담하지만 기구 다 있고 좋았어요~~!! ",2023년 2월 19일,2023년 2월,가족과 여행함,5.0,4.0,3.0,5.0,5.0,5.0,5.0
878979070,jisuhan91,방문했던 호텔 중 최고,방이 굉장히 넓고 통창으로 되어있어서 개방감이 좋습니다. 그리고 무엇보다 화장실과 샤워실이 분리되어 있어서 편리했습니다. 엘레베이터는 중간층과 고층이 나눠져있으니 잘 보고 타셔야해요 ! <br/>그리고 그랜드키친 조식이 다양하고 맛있습니다. 8시전에는 가셔야 한적하게 드실 수 있어요.,2023년 2월 17일,2023년 2월,출장 목적으로 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
878975263,code0330,하얏트호텔,비행기 결항으로 다시 재 숙박 하였습니다 제주도에 다른 호텔도 많으나 첫 날 방문한 하얏트 제주의 인상이 너무 좋아 재 숙박시 망설임 없이 재 숙박 하였습니다 ,2023년 2월 17일,2023년 2월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
878903476,traveldog52,가족여행으로 좋아요,비행기를 좋아하는 아들이 실컷 공항을 볼 수 있는 최고의 호텔이예요. 부모님과 같이가서 방 두 개를 연결한 커넥팅룸에 투숙해서 편했습니다.,2023년 2월 16일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
878722887,asantop1,만족합니다,역시 제주 호텔하면 그랜드하얏트!<br/>무조건 추천입니다.<br/>제주도에 있는 호텔 전부 가봤지만 여기만한 곳이 없습니다.<br/>만족도 높고 서비스 좋고!,2023년 2월 15일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
878648136,rlaalfk04,매우만족했어요,홈쇼핑을 통해 예약했는데<br/>33층 높은 층수를 배정받았고 시티뷰 너무 좋았어요. 모든 시설 깨끗하고 고급져서 너무 좋았어요. 라운지바도 이용했고 조식도 이용했는데 모두 만족했습니다. 하지만 한가지 야외수영장이 수리기간이라는 것을 체크인할때 들어서 ㅠ 사용하지 못해 너무 아쉬웠습니다   ㅠㅠ,2023년 2월 14일,2023년 2월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
878598443,죤장,힐링되네요,"지인들과의 제주 여행 마지막 일정으로 묵었는데, 지인들 모두 시설이나 서비스 면에서 매우 만족해 합니다.<br/>모두들 힐링되었습니다.",2023년 2월 14일,2023년 2월,친구와 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
878594619,taehyun4kim,가족 여행 숙소로 추천합니다.,"룸 사이즈가 동급 타 호텔 대비 크고, 신축으로 집기 및 시설이 모두 깨끗합니다.<br/>편의 시설 및 상가가 모두 건물 안에 있어 동선이 편합니다.<br/>고객 응대와 하우스키핑도 훌륭합니다.<br/>다만 실내 수영장의 크기가 크지 않아 붐빕니다. 실외 수영장이 공사 중이라 그런 듯 합니다.",2023년 2월 14일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
878321476,brandonshim,룸 컨디션 매우 좋음,비즈니스 미팅을 위해 연회실과 객실 사용함. 참가자들의 만족도 매우 좋았음. 룸 컨디션 및 연회장 시설도 매우 쾌적하고 편리함. 특히 흡연자들의 경우 건물 내 흡연장소 제공에 대하여 매우 호응이었음. 제주도 비지니스 이벤트 시 이용을 고려해보면 매우 좋을 듯 함.,2023년 2월 12일,2023년 2월,출장 목적으로 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
877982123,kkleea,시티뷰 강추,"가격은 비싸지만, 씨티뷰 객실에서보는 전망은 정말 환상적이었습니다. <br/>직원분들은 모두 친절하였습니다.  <br/>조식 뷔페는 다소 아쉬웠습니다. 제주 관련 음식들이 더 많았으면 합니다.<br/>실내수영장은 25m 가 아닌것 같습니다. 물놀이를 .즐기기엔 좋지만 <br/>수영을 하려면 제주종합경기장 실내수영장 이나 사라봉(제주국민체육센터)수영장 자유수영을 추천드립니다. ",2023년 2월 9일,2023년 2월,가족과 여행함,4.0,4.0,5.0,5.0,5.0,5.0,5.0
877977338,j0anami,멋진 뷰~ 최고의 시설!어르신들에게도 최고!,"부모님(70대 중후반) 결혼 50주년 기념으로 계획한 여행이였습니다.연세가 있으신데 두분만 가셔서 호텔 이용에 어려움이 있지 않을까 했는데 체크인, 클럽 라운지 이용, 체크아웃까지 직원들의 배려 덕분에 어려움없이 잘 마무리 했습니다.서울 호텔에 비해 룸이 넓고, 비행이 이착륙이 보이는 방의 야간뷰가 최고였다고 찬사를 보내셨어요.",2023년 2월 9일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877958913,nand020,가족여행,"제주 가족여행시 많이 이용합니다. <br/>제주에서 시설이 가장 좋고, 직원들도 친절합니다.<br/>다만 아이들과 함께여서 수영장을 이용하는데<br/>야외수영장의 공사로 사용 할수 없어서 실내수영장이 많이 붐볐음. 수영장의 공사로 사용이 안될시 사전에 예약자들에게 공지를 해서 알려주는 것이 필요하다 생각됩니다. <br/>",2023년 2월 9일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877863722,moon5785,하얏트 야경,예약하고 갔지만 직원의 건의로 추가 요금 지불하고 전망 좋은 방에서 숙박하였음<br/>전반적으로 청결하나 테이블이 지저분해 보였음 테이블 자체의 문제였음,2023년 2월 8일,2023년 2월,커플로 여행함,5.0,3.0,4.0,5.0,4.0,4.0,5.0
877858855,pdhee1,욕실어메니티개선점,전반적으로 아주  훌륭했습니다..욕실 어메니티 제품을 좀더 질좋은제품으로 교체했으면 좋겠습니다.발만제품  질이 썩 좋지는 않네요<br/><br/>,2023년 2월 8일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877752958,incgagu,제주 하얏트,시내위치해서출퇴근시간길이심하게막히고객실화장실이나샤워실배수구에서냄새가역류하듯솔라와문을닫아놓아야했고단조로운조식이별로였고심지어스푼새것에서닦이지않은찌꺼기가있었다.,2023년 2월 7일,2023년 2월,가족과 여행함,3.0,2.0,2.0,3.0,3.0,3.0,3.0
877746928,ellin512023,아주 좋았습니다^^,"웨딩촬영 후 지쳤었는데 아주 편히 쉬다가 왔습니다 다만 체크인이 늦게 되어서 즐길 수 있는 시간이 별로없었다는거, 6층에서 체크인을 해야한다는게 조금 헷갈렸습니다",2023년 2월 7일,2023년 2월,커플로 여행함,5.0,4.0,5.0,4.0,5.0,4.0,5.0
877734477,kimjy8772,아기와의 편한 여행을 원한다면 하얏트와 함께하세요,13개월 아가와의 여행이였습니다.<br/>아기가 너무 어려 관광지 여행은 어려워 호텔에서 지내는 시간이 많았어요<br/>유모차 침대 욕조 하이체어 등등 유아용품 대여 할수 있어서 편하게 시설들을 이용할수 있었습니다.,2023년 2월 7일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877734326,dolee486,제주에서의 최고의 선택 하얏트,어머님과 아이와 함께 갔던 여행에 가장 잘한 선택이지 않았나 싶었어요<br/>조카와 부모님 모두 같이 또 와야겠다는 생각이 들었습니다.<br/>실외수영장 공사때문에 가진 못했지만 실내수영장이 깨끗하고 물이 따뜻해서 어린아이들이 놀기에도 좋았고 어머님이 만족 하셔서 기분 좋았습니다.<br/>다음번에 우리 가족 모두 길게 같이 갈 생각입니다.,2023년 2월 7일,2023년 2월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877613622,ksun2023,제주 여행 최고만족은 그랜드 하얏트,"중문쪽 좋은 호텔 많지만 그랜드 하얏트에 비할 수없다. 압도적인 룸 크기, 뷰, 욕실 등 뭐 하나 탄성을 자아내고, 조식도 다양성과 퀄리티에서 최고이며, 수영장, 찜질방까지 호텔을 떠나기 싫을 정도이다.<br/>",2023년 2월 6일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877481980,mathjjh,시설 서비스 모두 굿!!!,"시설, 서비스 모두 정말 좋았습니다. 다음에 또 오고 싶고.. 특히 숙소에서 보이는 바다와 제주시내 등의 전망이 오랫동안 기억에 남을 것 같습니다. ",2023년 2월 5일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877471769,ksh81928,제주도에서 가장 좋은 호텔,"전에는 조선, 해비치, 신라 등이 있었지만 지금은 하얏트가 최고인거같아요. 느낌이 다른 호텔들이지만 항상 하얏트제주가면 더 좋게 느껴져요",2023년 2월 5일,2023년 2월,커플로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877465063,patzzang2023,거대한 제주도 호텔룸의 경험,"거대한 제주도 호텔룸과 맛있는 조식이 훌륭하였으며, 공항과의 접근성도 아주 우수함. 이번에는 비즈니스차 갔지만 가족과 함께라면 더 좋을것으로 보임 ",2023년 2월 5일,2023년 2월,출장 목적으로 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
877390755,why0621,제주 호텔로 최고,항상 갈 때마다 힐링하는 것 같습니다. 제주 여행 만족도의 반은 하얏트 호텔 덕분입니다.<br/>앞으로도 지금처럼 좋은 서비스와 품질 유지해 주셨으면 좋겠습니다.,2023년 2월 4일,2023년 1월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
877262928,redkkim,즐거운여행,침대매트리스.이불만족했고 욕실바닥 푹신한매트또한 맘에들었고 분리된 화장실매우 맘에들었다 전망은 말할것도없고<br/>,2023년 2월 3일,2023년 1월,친구와 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877143247,jjh8145,제대로 된 호캉스,  전 세계의 호텔 체인이라 시설에 아주 많은 서비스를 계획 했네요. 호텔에서 나갈 일이 없었어요. 음식점도 쇼핑 시설도 편의점까지 제대로 쉬고 왔습니다. ,2023년 2월 2일,2023년 1월,친구와 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
877141165,wnaud9292,전반적으로 모두 만족한 여행,"시설, 서비스, 친절도 모두 만족할만한 여행이었으며 고층에서 내려다보는 뷰도 너무 좋았습니다.<br/>너무 좋은 제주도 경험이 되었습니다.",2023년 2월 2일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,4.0
877112790,soohyun8589,그랜드 하얏트 제주 리뷰,체크인부터 아주 쉬웠고 객실이 너무 청결하여서 너무 좋았다. 그리고 직원에게 요청했던 요구사항들을 최대한 들어주시려는 부분이 너무 좋았다. 하지만 조식은 조금 과하지 않나 라는 생각이 든다. 기본에 충실하는 호텔 조식이면 더 좋을것같은데 다음에는 조식은 이용하지 않을것 같다. 이 외에는 매우 만족스럽다,2023년 2월 2일,2023년 1월,출장 목적으로 여행함,4.0,3.0,5.0,4.0,5.0,5.0,4.0
877042721,ysw0126,그랜드하얏트 jeju,가족과 함께가기에 더할나위없이 최고의 호텔입니다. 큰 룸과 고층에서보는뷰는 기가막힙니다.<br/>테이블도 큰것이 있어 저녁에 호텔내에서 가족과 음식을 먹기도 좋고 엘리베이터도 카드보안이 잘되있고 기다림없이 빨리옵니다.,2023년 2월 1일,2023년 1월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,4.0
877035169,iibluemoonii,그랜드 하얏트 제주 강추!,내부시설 및 룸컨디션이 매우 청결하고 만족함. 시티뷰 룸으로 입실하는 순간 감탄사가 절로 나옴. 뷰 끝내줌! 무엇보다 직원들에 세심한 배려와 친절함에 그랜드하얏트 제주 이미지가 업그레이드 됨. 주변 지인들에게 추천해주고 싶을 정도로 매우 만족한 숙박이었음.,2023년 2월 1일,2023년 1월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
876933899,chwbaboo,초등 아이 둘과 3박 4일 호캉스~,"남편이 직원들과 다녀와보고 좋다고 해서 가족들과 함께 계획해서 다녀왔습니다. 겨울이기도 하고, 호캉스만 누리고자 내부에서만 즐겼고, 38층 라운지 뷰와 딸기빙수로 첫날 일정 시작했습니다. 바다는 서귀포 쪽만 생각했는데, 바다뷰와 공항뷰를 보며 멍때리는 것이 힐링이 되었습니다. 좀 더 따뜻할 때 노천탕과 수영장에서 석양을 보면 너무 좋을 것 같아요. 8층 야외 수영장과 6층 실내 수영장이 엘리베이터로 되어 있고, 수영관련 모든 부분이 무료제공되어 좋았습니다. 담에 또 가려구용.",2023년 1월 31일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
876853775,jovialle96,가족여행,가족여행 및 휴가로 선택한 호텔입니다.조식 서비스는 아주 만족스럽습니다. 객실 정비가 아주 훌륭하고 요청사항에 응대가 좋았습니다.,2023년 1월 30일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
876563143,eunjuc2014,가격이 괜찮은 날은 추천,시설 깔끔하고 기본룸도 컨디션 좋아요 호텔 내에 모든 시설이 다 있어서 불편함이 없어요 다만 중국풍이라는 느낌 많이 받았네요 안내가 영어와 중국어.. 그래도 시내에서 아주 만족스러운 컨디션의 호텔입니다.,2023년 1월 28일,2023년 1월,커플로 여행함,4.0,2.0,4.0,5.0,5.0,5.0,5.0
876487631,eugenejn2023,좋은 호텔,"객실은 청결하고, 직원은 친절합니다. 수영장등 부대시설은 고급스럽고 완벽합니다.<br/>그러나 조식은 가격 대비 그냥 그렇습니다.",2023년 1월 27일,2023년 1월,가족과 여행함,4.0,4.0,5.0,5.0,5.0,5.0,5.0
876357400,nayeon0402,최악의투숙,예약시 엑스트라베드를 요청하고 가능함을 확인 후 예약을 했었고<br/>체크인시에도 다시한번 엑스트라베드를 요청하였음 가능하다고 했으며 준비해드리겠다고 답변.<br/>그러나 1시간뒤에도 올라오지 않아 문의하니<br/>엑스트라베드가 다 마감되었다는 황당한 답변<br/>엑스트라 베드가 없으니 옆에있는 소파에서 자라는 답변<br/>나는 소파에서 자려고 이곳을 선택한게 아니라고 방법을 더 알아보라고 항의하니<br/>그제서야 트윈객실로 옮겨드리겠다고 응대<br/>트윈객실로 모든 짐을 다시 모두 옮겨야 하는 불편함에 대한것은<br/>1도 보상이 없었음. 매우 불편하고 불쾌한 투숙이었습니다<br/>아무리 방을 옮겨준다고 해도<br/>중간에 방을 옮기는건 매우 불편한 일이랍니다<br/>그건 아세요?<br/>심지어 그와중에 우리 짐옮겨주는 직원은 방향을 잘못잡아<br/>그와중에 다른엘리베이터를 타게해서 <br/>우왕좌왕 여기 올라갔다 다시 내려오는<br/>엉망진창의 경험<br/>최악의 투숙으로 다시는 안가고 싶네요<br/>직원교육 제대로 좀 하세요<br/>하얏트 이름이 부끄럽습니다,2023년 1월 26일,2023년 1월,가족과 여행함,1.0,1.0,5.0,3.0,5.0,3.0,1.0
876273531,loddarkk,제주 도심의 호텔로 위치와 크기면에서 모두 만족,제주 도심의 호텔로 위치와 크기면에서 모두 만족합니다.<br/>제주 중심에 위치하고 있어 어느 방향으로든 이동이 편리하고 공항도 가까워 좋습니다. 엄철난 룸 크기도 만족합니다.<br/><br/>제주에 오게 된다면 10번 중 8번은 이곳을 선택하게 됩니다.<br/>,2023년 1월 25일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
876261815,hana7393,2박 3일 제주여행 고층뷰가 멋있네요~,2박 3일 제주여행 고층뷰가 멋있네요~<br/>네식구 모두 호캉스를 보내고 갑니다 <br/>조식은 조금 아쉬운감이 있지만 전반적으로 괜찮았습니다~,2023년 1월 25일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
876238724,limjieunmail,끝내주는 뷰와 깨끗한 룸,일단 뷰가 압도적입니다!!!제주에서 높은건물은 이것 하나인것같아요. 룸도 일반룸보다 훨씬 넓고 깨끗하고 시설도 너무 좋아서 불편한게 하나도 없이 잘 머물다 가네요! 아침마다 한라산 구경하는 재미로 일어났던것 같아요! 너무 만족스럽습니다!!!,2023년 1월 25일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
876151404,tuca2785,설연휴휴가,설연휴 휴가를 가족들과 급하게 일정을잡아서 갔으나 객실상태 및 직원의 응대  또한 우수하고 주차시설도 좋아 자주이용하지만 더 자주 이용할거같습니다<br/>자주 이용하는 고객에게는 이벤트나 객실업그레이드 (비수기)해주면 좋을거같습니다,2023년 1월 24일,2023년 1월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
876148247,Kim_DW_Global,제주시 호텔 중엔 추천,"가격은 제주시 고층 5성호텔 수준, 내부 마사지, 스파이용비용은 평균보다 비쌈.<br/>위치는 제주시 중심부에 위치하여 차량렌트 시 공항 및 근처 관광지 접근 수월함.<br/>직원들 친절하고 시설도 신축이라 괜찮았음, 객실 및 38층, 8층 야외 수영장(일몰) 뷰 좋음.<br/>단점으론 객실뿐만 아니라 사우나도 수압이 약하고, 주차장에 타워1, 2구분이 모호하여 해메게 됨.<br/>흡연실은 3층, 4층, 6층 실내에 있음.<br/>4층에 편의점이 입점해 있으나 담배는 안팔고 있었으며, 쇼핑몰 각 층별 현금인출가 있었음.",2023년 1월 24일,2023년 1월,가족과 여행함,4.0,,,,,,
876037220,rehden0312,Very good,"가족들과 함께한 여행중 최고의 컨디션으로 즐길 수 있어서 너무 좋았어요 ^^<br/>객실 상태며, 분위기 접근성 등 모든것이 만족스러웠어요",2023년 1월 23일,2023년 1월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
876011707,besasa2023,시설은 너무 좋음,   객실이 넓어서 가족단위여행객들에게는 좋음.퀸사이즈 트윈베드가 있어서 네가족인경우 잠자리가 편했음.<br/>단지 실내수영장 깊이가 1.35미터로 깊어서 유아에게는 적당치않았고ᆢ 키가 160인 어른도 까치발로 다님(수영못해서) <br/>하지만 타월과 구명조끼가 무료대여여서 좋았음...<br/>키즈카페가 없어서 그게 아쉬움.<br/>뷔페는 어른2.8살2명 204.000원이였는데ᆢ<br/>딱히 먹을게 있지는 않아서..가격대비 별로 추천하지않음.<br/>1층 카페에서도 딸기라떼가 1잔 15.000원이나...퀄리티대비 비쌈...비추..<br/>전반적으로 비쌈...<br/>기타부대시설가격은 비쌈..<br/><br/>,2023년 1월 23일,2023년 1월,가족과 여행함,5.0,2.0,3.0,5.0,5.0,5.0,3.0
875901027,whqhrtjd,그랜드 하얏트 제주,객실 외부 창이 얼룩이 심하게 있었습니다<br/>고층이라 매번 창밖을 닦을수 없는것도 이해하지만 고가의 금액을 지출하고 이용하는것을 생각한다면 개선되어야하지 않을까 싶네요,2023년 1월 22일,2023년 1월,커플로 여행함,4.0,4.0,5.0,5.0,4.0,4.0,5.0
875872354,bumsoo0622,호캉스 최고,평일 호캉스로 들렸지만 직원들의친절한안내에 객실업그레이드에 만족한서비스와<br/>부대시설 이용으로 재방문의사 충분,2023년 1월 22일,2023년 1월,가족과 여행함,5.0,4.0,4.0,5.0,5.0,5.0,5.0
875583279,tjsdud4835,생일기념가족숙박,생일다음날에방문한거지만고층객실로업그레이드도해주시고방에들어와보니마카롱선물과생일축하카드까지..정말감동입니다*^^*앞으로생일날마다오고싶네요.사진찍을곳도많아서좋네요.,2023년 1월 19일,2023년 1월,가족과 여행함,4.0,3.0,4.0,4.0,4.0,3.0,4.0
875494618,po1172023,아기와 첫여행,객실상태가 매우훌륭하고<br/> 직원들의 서비스가 최상급이였다.<br/>제주온다면 또 투숙할것이다.<br/>아이와 같이 오면 최고로 만족할것이다.,2023년 1월 18일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875486810,helencN1826YU,생각보다 더 좋아요,"우선 방이 커서 호캉스를 제대로 누린거 같고, 위치며 청결상태가 아주 만족해요. 다음번에도 제주는 무조건 이곳으로 결정하려고 합니다",2023년 1월 18일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875436263,jinhuiren087,좋아요,휴식을 위해 오랜만에 다시 방문했어요.  늘 한결같고 정갈하고 좋습니다.  직원들도 친절하고 주차장규모도 넓어서 편리해요. ,2023년 1월 18일,2023년 1월,친구와 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
875410932,kwangreecho,휴가,2박 3일인데 청소를 안 해 주었습니다. 텔레비전 리모컨이 작동하지 않았는데 3번의 전화  저녁 식사 후 3 시간이 지나도 고쳐지지 않았습니다. 창틀에 틈이 있어 부실 공사가 의심되었고 조식뷔페는 하얏트 퀄러티로 보이지 않았습니다. 예를 들면 프렌치 토스트는 모두 식어 있었습니다. 직원들의 안내도 부족해 보입니다. 예를 들면 6층과 8 층 수영장 연결이라든지 야외 수영장 오픈 여부를 프론트에서 잘 못 가르쳐 주었습니다.,2023년 1월 17일,2023년 1월,,2.0,,,4.0,,1.0,1.0
875359585,dhgroom,합리적 가격에 좋은 위치 다양한 시설 재방문의사 있음,합리적 가격에 좋은 위치 다양한 시설 재방문의사 있음<br/>젊은 층을 대상으로 한 센스를 느낄 수 있었습니다<br/>준비 못해 풀장은 사용 못 했지만 겨울에도 사용하기 좋아보였고 아이들도 좋아할 거 같애요<br/>부대시설도 다양하고 퀄리티도 좋았습니다<br/>일식당과 포차 이용했는데 맛과 퀄리티가 다 좋았습니다,2023년 1월 17일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875250223,zoon1221,세계 최고급의 호텔,제주 어느호텔보다고 같은급의 호텔객실을 봣을때 아주 넓고 쾌척합니다. 통창이있어 가슴뚤리는 전망과 높은위치!! 너무 만족합니다<br/>다만 금액이 조금 있다보니 자주 이용하기엔 조금 부담스러운게 단점입니다. 조금만더 저렴하다면 자주 이용하고싶네요  ,2023년 1월 16일,2023년 1월,커플로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875232014,dbekqls0216,넓고 호캉스하기 제 격,"안에 부대시설이 많아 호캉스하기에 좋았음 <br/>다만, 풋 스파에서 발 바닥을 더 눌러줘야 더 시원했을 텐데 발가락 쪽을 굳이 왜 마사지 하는지 모르겠음.",2023년 1월 16일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875128937,s00been0h,아주좋음 다음에 또 방문하고싶음,매우좋음만족스럽다 가격을 지불할만하다 매우좋음만족스럽다 가격을 지불할만하다 매우좋음만족스럽다 가격을 지불할만하다,2023년 1월 15일,2023년 1월,친구와 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875107125,leehyekyung0429,직원들의 친절어투와 약속,"직원들의 말로하는 약속을 지키지못하더라구요..<br/>(옥상화재로 36층을 계단으로 2번이나 내려왔을때,태풍으로 창가에 비가들이쳤을때  다음에 오시면 좀더 편리하도록 도움주시겠다고 하시더니..<br/>(22년 4회 23년 1월 방문했을때 도움받지 못했습니다",2023년 1월 15일,2023년 1월,커플로 여행함,4.0,4.0,4.0,5.0,4.0,4.0,4.0
875058505,nhkim0050,너무 좋았던 호텔,객실 하나하나 만족.<br/>침대 너무 편함. <br/>객실 청결. 오후에 한번더 청소해주시고<br/>너무 좋았음<br/>수영장도 굿<br/>한겨울 춥지도 않고 너무 좋았음<br/><br/>다른호텔 인피니티풀에서 추위서 덜덜 떨었음<br/>여기는 그런걱정 안해도 됩니다<br/>더워요^^♡<br/><br/>또방문하고 싶네용,2023년 1월 14일,2023년 1월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
875058428,Kellen1344,적당함,적당해서 좋았다. 서비스에 만족하는 가족의 모습에 괜찮았다고 생각한다. 다만 1층 프론트쪽의 직원들은 보다 적극적으로 행동했으면 좋겠다. 올때마다 조금씩 다른편인듯싶다.,2023년 1월 14일,2023년 1월,가족과 여행함,5.0,4.0,5.0,4.0,4.0,5.0,4.0
875031215,여움 기,제주 숙소 중 탑인듯,"높은 층 안내를 받고 3만원 추가하고 27층 배정받았습니다.<br/>돈이 조금도 아깝지 않을만큼 뷰 멋졌고, 호텔 컨디션 매우 만족했습니다.<br/>앞으로 자주 이용하고 싶습니다.<br/>다음날 새벽에 한라산 등반계획으로 조식을 먹지 못해 아쉬웠지만 다음엔 조식까지 경험 해 볼 계획입니다^^",2023년 1월 14일,2023년 1월,친구와 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
874941453,skyman4929,이용후기 개선해주면 좋을 부분,수영장 이용시 체크인과 체크아웃전 시행일자에만 이용가능하다고 안내받아 첫날만 수영장을 이용하였음.<br/>수영을 좋아하는 우리 가족들은 체크아웃날도 수영장을 이용하고 싶었으나 조식 식사 후 이용 시간이<br/>촉박하여 체크아웃 시간내 수영장 이용이 불가하였음. 체크 아웃 이후 수영을 즐길 수 있는 단 몇 시간의 여유 시간이 있었으면 더 기분 좋은 휴가가 될 수 있었을 것 같음. 이 부분이 조금 아쉬웠음. 그 외에는 전반적으로 힐링되는 좋은 호텔이였음,2023년 1월 13일,2023년 1월,가족과 여행함,5.0,4.0,4.0,5.0,5.0,5.0,5.0
